name,ttl,type,value
"reebanportfolio.me","3600","NETLIFY","reeban-portfolio.netlify.app"
"www.reebanportfolio.me","3600","NETLIFY","reeban-portfolio.netlify.app"
"reebanportfolio.me","3600","NETLIFYv6","reeban-portfolio.netlify.app"
"www.reebanportfolio.me","3600","NETLIFYv6","reeban-portfolio.netlify.app"
